ticker,date,total_assets,total_liabilities_net_minority_interest,total_equity_gross_minority_interest,total_capitalization,common_stock_equity,net_tangible_assets,working_capital,invested_capital,tangible_book_value,total_debt,net_debt,share_issued,ordinary_shares_number,capital_lease_obligations,preferred_stock_equity,preferred_shares_number,treasury_shares_number
A,10/31/2023,10763000,4918000,5845000,8580000,5845000,1410000,2583000,8580000,1410000,2735000,1145000,292123.24,292123.24,,,,
AA,12/31/2023,14155000,8310000,5845000,5983000,4251000,4068000,1375000,6062000,4068000,1915000,867000,178472.46,178472.46,104000,,,
AACT,12/31/2023,525453.43,22779.13,502674.29,507674.29,502674.29,502674.29,2135.94,507674.29,502674.29,5000,3094.88,62500,62500,,,,
AADI,12/31/2023,132423,27228,105195,105195,105195,105195,98191,105195,105195,1267,,24554.2050,24554.2050,1267,,,
AAL,12/31/2023,63058000,68260000,-5202000,24068000,-5202000,-11344000,-8490000,27700000,-11344000,40663000,32324000,654273.19,654273.19,7761000,,,
AAM,,,,,,,,,,,,,,,,,,
AAME,12/31/2022,367064,264871,102193,135931,102138,99649,,137885,99594,35747,6884,22400.8940,20407.2290,,55,55,1993.6650
AAOI,12/31/2023,389186,174317,214869,291102,214869,206211,79247,330067,206211,121073,69832,38148,38148,5875,,,
AAON,12/31/2023,941436,206212,735224,773552,735224,585279,282205,773552,585279,50550,38041,81508.38,81508.38,12222,,,
AAP,12/31/2023,12276326,9756598,2519728,4306089,2519728,934644,1069616,4306089,934644,4002127,1282890,77349,59512,2215766,,,17837
AAPL,9/30/2024,364980000,308030000,56950000,142700000,56950000,56950000,-23405000,163579000,56950000,106629000,76686000,15116786,15116786,,,,
ABAT,6/30/2024,77675.1320,16207.4920,61467.6400,61467.6400,61467.6400,56948.6020,2607.7500,67915.0010,56948.6020,6501.6650,,58598.1330,58598.1330,54.3040,,,
ABBV,12/31/2023,134711000,124314000,10397000,62554000,10360000,-77543000,-4839000,69745000,-77543000,59385000,46571000,1823046.09,1765940.73,,,,57105.35
ABCB,12/31/2023,25203699,21776952,3426747,4066648,3426747,2323152,,4066648,2323152,639901,,72516.08,69053.34,,,,3462.74
ABCL,12/31/2023,1488094,335776,1152318,1152318,1152318,984087,752972,1152318,984087,77380,,290824.9700,290824.9700,77380,,,
ABEO,12/31/2023,64002,49176,14826,14826,14826,14826,42315,14826,14826,5400,,26523.88,26523.88,5400,,29383.62,
ABG,12/31/2023,10159400,6915300,3244100,6365300,3244100,-860700,181400,8475000,-860700,5479200,5185200,42352,20333.46,248300,,,22018.54
ABL,12/31/2023,331826.07,167755.99,164070.08,290722.68,163931.79,-5978.34,8450.50,303752.31,-5978.34,141735.30,114231.85,63388.82,63242.17,1914.79,,,146.65
ABLV,12/31/2023,54906.6950,43491.1160,11415.5790,11415.5790,11415.5790,11415.5790,32882.1720,14300.0980,11415.5790,4650.3660,,42118.8160,42118.8160,1765.8470,,,
ABM,10/31/2023,4933700,3133800,1799900,3079700,1799900,-994300,492800,3111200,-994300,1442600,1241800,62847.39,62847.39,131300,,,
ABNB,12/31/2023,20645000,12480000,8165000,10156000,8165000,7373000,6559000,10156000,7373000,2304000,,638000,638000,313000,,,9200
ABOS,12/31/2023,310125,43152,266973,294310,266973,266973,233644,294310,266973,28487,,57910.4610,57910.4610,1150,,,
ABSI,12/31/2023,217298,41122,176176,180836,176176,127923,91020,184094,127923,15957,,93087.6750,93087.6750,8039,,,
ABT,12/31/2023,73214000,34387000,38827000,52202000,38603000,6109000,8829000,53282000,6109000,15628000,7783000,1987883.85,1734076.36,949000,,,253807.49
ABTS,12/31/2023,12318.2680,1005.6080,11312.6600,11312.6600,11307.6100,10118.5030,652.9360,11307.6100,10113.4530,,,35554.6770,35554.6770,,5.0500,,
ABUS,12/31/2023,144401,38383,106018,106018,106018,106018,109540,106018,106018,1768,,169867.4140,169867.4140,1768,,,
ABVC,12/31/2023,14492.5990,6361.6270,8130.9720,8388.0500,8388.0500,8388.0500,-4275.7810,9856.7560,8388.0500,2277.9890,1408.5510,7940.2980,7913.7450,809.2830,,,26.5530
ABVE,1/31/2024,143887.9550,190146.1870,-46258.2320,-46072.1280,-46258.2320,-49577.8950,-85414.2720,33015.3470,-49577.8950,117506.6260,78321.2990,25824.9420,25824.9420,38233.0470,,,
AC,12/31/2023,943797,30719,913078,906975,906975,903456,426170,906975,903456,,,25592.17,21537.61,,,,4300.79
ACA,12/31/2023,3577900,1245900,2332000,2893900,2332000,1070600,480800,2900700,1070600,568700,463900,48562.28,48562.28,,,,
ACAB,12/31/2023,37365.98,45888.46,-8522.48,-8522.48,-8522.48,-8522.48,-5394.93,-8362.48,-8522.48,160,,8167.39,8167.39,,,,
ACAD,12/31/2023,748956,317201,431755,431755,431755,366265,361871,431755,366265,57205,,164650.22,164650.22,57205,,,
ACB,3/31/2024,838673,236803,601870,564671,559773,475743,301985,617032,475743,104791,,54545.7970,54545.7970,47532,,,
ACCD,2/29/2024,788151,342686,445465,653947,445465,1867,177062,654385,1867,241648,23202,78070.7810,78070.7810,32728,,,
