ticker,first_trade_date,long_name,short_name,sector,industry,address,website
A,942935400,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,"5301 Stevens Creek Boulevard Santa Clara, CA 95051 United States",https://www.agilent.com
AA,-252322200,Alcoa Corporation,Alcoa Corporation,Basic Materials,Aluminum,"201 Isabella Street Suite 500 Pittsburgh, PA 15212-5858 United States",https://www.alcoa.com
AACT,1686663000,Ares Acquisition Corporation II,Ares Acquisition Corporation II,Financial Services,Shell Companies,"245 Park Avenue 44th Floor New York, NY 10167 United States",https://www.aresacquisitioncorporationii.com
AADI,1518791400,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",Healthcare,Biotechnology,"17383 Sunset Boulevard Suite A250 Pacific Palisades, CA 90272 United States",https://aadibio.com
AAL,1127827800,American Airlines Group Inc.,"American Airlines Group, Inc.",Industrials,Airlines,"1 Skyview Drive Fort Worth, TX 76155 United States",https://www.aa.com
AAME,322151400,Atlantic American Corporation,Atlantic American Corporation,Financial Services,Insurance - Life,"4370 Peachtree Road, N.E. Atlanta, GA 30319 United States",https://www.atlam.com
AAOI,1380202200,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",Technology,Communication Equipment,"13139 Jess Pirtle Boulevard Sugar Land, TX 77478 United States",https://www.ao-inc.com
AAON,724516200,"AAON, Inc.","AAON, Inc.",Industrials,Building Products & Equipment,"2425 South Yukon Avenue Tulsa, OK 74107 United States",https://www.aaon.com
AAP,1007044200,"Advance Auto Parts, Inc.",Advance Auto Parts Inc.,Consumer Cyclical,Specialty Retail,"4200 Six Forks Road Raleigh, NC 27609 United States",https://shop.advanceautoparts.com
AAPL,345479400,Apple Inc.,Apple Inc.,Technology,Consumer Electronics,"One Apple Park Way Cupertino, CA 95014 United States",https://www.apple.com
ABAT,1456324200,American Battery Technology Company,American Battery Technology Com,Basic Materials,Other Industrial Metals & Mining,"100 Washington Street Suite 100 Reno, NV 89503 United States",https://americanbatterytechnology.com
ABBV,1357137000,AbbVie Inc.,AbbVie Inc.,Healthcare,Drug Manufacturers - General,"1 North Waukegan Road North Chicago, IL 60064-6400 United States",https://www.abbvie.com
ABCB,769354200,Ameris Bancorp,Ameris Bancorp,Financial Services,Banks - Regional,"3490 Piedmont Road NE Suite 1550 Atlanta, GA 30305 United States",https://www.amerisbank.com
ABCL,1607697000,AbCellera Biologics Inc.,AbCellera Biologics Inc.,Healthcare,Biotechnology,"2215 Yukon Street Vancouver, BC V5Y 0A1 Canada",https://www.abcellera.com
ABEO,338218200,Abeona Therapeutics Inc.,Abeona Therapeutics Inc.,Healthcare,Biotechnology,"6555 Carnegie Avenue 4th Floor Cleveland, OH 44103 United States",https://www.abeonatherapeutics.com
ABG,1016721000,"Asbury Automotive Group, Inc.",Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,"2905 Premiere Parkway NW Suite 300 Duluth, GA 30097 United States",https://www.asburyauto.com
ABL,1600090200,"Abacus Life, Inc.","Abacus Life, Inc.",Financial Services,Insurance - Life,"2101 Park Center Drive Suite 200 Orlando, FL 32835 United States",https://abacuslife.com
ABLV,1693920600,Able View Global Inc.,Able View Global Inc.,Communication Services,Advertising Agencies,"Dushi Headquarters Building Floor 16 No. 168, Middle Xizang Road Shanghai, 200001 China",https://www.ableview.com
ABM,322151400,ABM Industries Incorporated,ABM Industries Incorporated,Industrials,Specialty Business Services,"One Liberty Plaza 7th Floor New York, NY 10006 United States",https://www.abm.com
ABNB,1607610600,"Airbnb, Inc.","Airbnb, Inc.",Consumer Cyclical,Travel Services,"888 Brannan Street San Francisco, CA 94103 United States",https://www.airbnb.com
ABOS,1625146200,"Acumen Pharmaceuticals, Inc.","Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,"427 Park Street Charlottesville, VA 22902 United States",https://acumenpharm.com
ABSI,1626960600,Absci Corporation,Absci Corporation,Healthcare,Biotechnology,"18105 SE Mill Plain Boulevard Vancouver, WA 98683 United States",https://www.absci.com
ABT,322151400,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,"100 Abbott Park Road Abbott Park North Chicago, IL 60064-6400 United States",https://www.abbott.com
ABTS,1397136600,Abits Group Inc.,Abits Group Inc,Financial Services,Capital Markets,Lee Garden One Level 24 33 Hysan Avenue Causeway Bay Hong Kong,https://www.abitsgroup.com
ABUS,1185456600,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation,Healthcare,Biotechnology,"701 Veterans Circle Warminster, PA 18974 United States",https://www.arbutusbio.com
ABVC,1100097000,"ABVC BioPharma, Inc.","ABVC Biopharma, Inc.",Healthcare,Biotechnology,"44370 Old Warm Springs Boulevard Fremont, CA 94538 United States",https://www.abvcpharma.com
ABVE,1719927000,Above Food Ingredients Inc.,Above Food Ingredients Inc.,Consumer Defensive,Packaged Foods,"2305 Victoria Avenue #001 Regina, SK S4P 0S7 Canada",https://abovefood.com
AC,1447165800,"Associated Capital Group, Inc.","Associated Capital Group, Inc.",Financial Services,Asset Management,"191 Mason Street Greenwich, CT 06830 United States",https://www.associated-capital-group.com
ACA,1541428200,"Arcosa, Inc.","Arcosa, Inc.",Industrials,Engineering & Construction,"500 North Akard Street Suite 400 Dallas, TX 75201 United States",https://www.arcosa.com
ACAB,1646836200,Atlantic Coastal Acquisition Corp. II,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,"6 St Johns Lane Floor 5 New York, NY 10013 United States",https://atlantic-coastal.com
ACAD,1085664600,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,"12830 El Camino Real Suite 400 San Diego, CA 92130 United States",https://www.acadia.com
ACB,1405431000,Aurora Cannabis Inc.,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,"90B Street SW Suite 2207 Edmonton, AB T6X 1V8 Canada",https://www.auroramj.com
ACCD,1593610200,"Accolade, Inc.","Accolade, Inc.",Healthcare,Health Information Services,"1201 Third Avenue Suite 1700 Seattle, WA 98101 United States",https://www.accolade.com
ACCO,1124285400,ACCO Brands Corporation,Acco Brands Corporation,Industrials,Business Equipment & Supplies,"Four Corporate Drive Lake Zurich, IL 60047 United States",https://www.accobrands.com
ACDC,1652448600,ProFrac Holding Corp.,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,"333 Shops Boulevard Suite 301 Willow Park, TX 76087 United States",https://www.pfholdingscorp.com
ACEL,1503581400,"Accel Entertainment, Inc.","Accel Entertainment, Inc.",Consumer Cyclical,Gambling,"140 Tower Drive Burr Ridge, IL 60527 United States",https://www.accelentertainment.com
ACET,1516977000,"Adicet Bio, Inc.","Adicet Bio, Inc.",Healthcare,Biotechnology,"131 Dartmouth Street 3rd Floor Boston, MA 02116 United States",https://www.adicetbio.com
ACGL,811085400,Arch Capital Group Ltd.,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,"Waterloo House Ground Floor 100 Pitts Bay Road Pembroke, HM 08 Bermuda",https://www.archgroup.com
