Stock,Date,Stock Price,Dividend Amount,Dividend Yield
MMM,2020-02-13,123.07563781738281,1.47,0.01194387472670389,Quarterly
MMM,2020-05-21,113.66394805908203,1.47,0.01293286063964539,Quarterly
MMM,2020-08-21,127.43330383300781,1.47,0.011535446039493172,Quarterly
MMM,2020-11-19,136.6363983154297,1.47,0.010758480303370233,Quarterly
MMM,2021-02-11,142.48797607421875,1.48,0.01038684133760944,Quarterly
MMM,2021-05-20,163.56834411621094,1.48,0.009048205555889834,Quarterly
MMM,2021-08-20,158.93284606933594,1.48,0.00931210908633912,Quarterly
MMM,2021-11-18,147.76171875,1.48,0.010016126047532187,Quarterly
MMM,2022-02-17,124.28093719482422,1.49,0.011988966559402903,Quarterly
AOS,2020-01-30,41.92354965209961,0.24,0.0057247060898141374,Quarterly
AOS,2020-04-29,42.748741149902344,0.24,0.005614200407876765,Quarterly
AOS,2020-07-30,47.2304573059082,0.24,0.005081466784146036,Quarterly
AOS,2020-10-29,52.289817810058594,0.26,0.004972287357061431,Quarterly
AOS,2021-01-28,56.021568298339844,0.26,0.004641069643309234,Quarterly
AOS,2021-04-29,67.606201171875,0.26,0.0038458010580864166,Quarterly
AOS,2021-07-29,69.86421203613281,0.26,0.0037215047936922496,Quarterly
AOS,2021-10-28,70.4290542602539,0.28,0.0039756319737778425,Quarterly
AOS,2022-01-28,75.5,0.28,0.0037086092715231792,Quarterly
ABT,2020-01-14,83.18400573730469,0.36,0.00432775503907423,Quarterly
ABT,2020-04-14,86.84683227539062,0.36,0.004145228911268091,Quarterly
ABT,2020-07-14,92.73936462402344,0.36,0.0038818467374613077,Quarterly
ABT,2020-10-14,105.73688507080078,0.36,0.003404677561278131,Quarterly
ABT,2021-01-14,108.41912841796875,0.45,0.004150559099361102,Quarterly
ABT,2021-04-14,113.98336791992188,0.45,0.0039479444081363165,Quarterly
ABT,2021-07-14,116.30908966064453,0.45,0.0038690011357922814,Quarterly
ABT,2021-10-14,111.14390563964844,0.45,0.004048804992142288,Quarterly
ABT,2022-01-13,122.9959487915039,0.47,0.0038212640710363443,Quarterly
ABBV,2020-01-14,79.99560546875,1.18,0.01475081028620957,Quarterly
ABBV,2020-04-14,75.60118103027344,1.18,0.015608221775364665,Quarterly
ABBV,2020-07-14,92.12127685546875,1.18,0.012809201525195204,Quarterly
ABBV,2020-10-14,81.28707885742188,1.18,0.014516452265060828,Quarterly
ABBV,2021-01-14,106.65975952148438,1.3,0.012188289246406395,Quarterly
ABBV,2021-04-14,102.4151611328125,1.3,0.01269343313646847,Quarterly
ABBV,2021-07-14,114.76335144042969,1.3,0.011327658034409984,Quarterly
ABBV,2021-10-14,107.79147338867188,1.3,0.012060323132540286,Quarterly
ABBV,2022-01-13,133.52000427246094,1.41,0.010560215360110039,Quarterly
ACN,2020-01-15,201.750732421875,0.8,0.003965289198193064,Quarterly
ACN,2020-04-15,165.69003295898438,0.8,0.004828292841235872,Quarterly
ACN,2020-07-15,215.67095947265625,0.8,0.0037093542958036856,Quarterly
ACN,2020-10-09,225.3136444091797,0.88,0.0039056667087674483,Quarterly
ACN,2021-01-13,254.14999389648438,0.88,0.003462522215752738,Quarterly
ACN,2021-04-14,282.0684814453125,0.88,0.003119809755031473,Quarterly
ACN,2021-07-14,312.6488037109375,0.88,0.0028146597381949767,Quarterly
ACN,2021-10-13,329.326171875,0.97,0.0029454081783945674,Quarterly
ACN,2022-01-12,377.19000244140625,0.97,0.0025716482242942864,Quarterly
AES,2020-01-30,19.04034423828125,0.143,0.007510368416159919,Quarterly
AES,2020-04-30,12.627815246582031,0.143,0.011324207490183686,Quarterly
AES,2020-07-31,14.650704383850098,0.143,0.00976062285152877,Quarterly
AES,2020-10-29,18.925939559936523,0.143,0.007555767551044615,Quarterly
AES,2021-01-28,23.948171615600586,0.151,0.006305283026351535,Quarterly
AES,2021-04-29,27.363771438598633,0.151,0.005518245185566902,Quarterly
AES,2021-07-30,23.39002227783203,0.151,0.006455744171868991,Quarterly
AES,2021-11-01,25.18903160095215,0.1505,0.005974822787324269,Quarterly
AES,2022-01-31,22.18000030517578,0.158,0.007123534617947239,Quarterly
AFL,2020-02-18,49.2134895324707,0.28,0.005689496978572472,Quarterly
AFL,2020-05-19,32.16063690185547,0.28,0.008706295240808673,Quarterly
AFL,2020-08-18,35.78474807739258,0.28,0.007824562559290258,Quarterly
AFL,2020-11-17,41.701019287109375,0.28,0.006714464173458553,Quarterly
AFL,2021-02-16,45.26819610595703,0.33,0.007289886242155205,Quarterly
AFL,2021-05-18,54.92633056640625,0.33,0.00600804744458631,Quarterly
AFL,2021-08-17,56.428958892822266,0.33,0.005848061110373877,Quarterly
AFL,2021-11-16,56.903350830078125,0.33,0.005799306986075901,Quarterly
AFL,2022-02-15,64.55999755859375,0.4,0.006195787099232239,Quarterly
A,2020-03-30,71.8798599243164,0.18,0.0025041785027061156,Quarterly
A,2020-06-29,86.522216796875,0.18,0.0020803905246970186,Quarterly
A,2020-10-05,102.39727783203125,0.18,0.0017578592303524455,Quarterly
A,2021-01-04,118.00170135498047,0.194,0.0016440440923508083,Quarterly
A,2021-04-05,129.497314453125,0.194,0.001498100565399937,Quarterly
A,2021-07-02,148.43942260742188,0.194,0.0013069304406624668,Quarterly
A,2021-10-04,152.1595916748047,0.194,0.0012749771333155032,Quarterly
A,2022-01-03,156.47999572753906,0.21,0.001342024576519348,Quarterly
APD,2020-03-31,192.47003173828125,1.34,0.006962122819318272,Quarterly
APD,2020-06-30,234.1379852294922,1.34,0.005723120913877296,Quarterly
APD,2020-09-30,290.1507873535156,1.34,0.004618288346629103,Quarterly
APD,2020-12-31,267.4705810546875,1.34,0.0050098967696414485,Quarterly
APD,2021-03-31,258.1080017089844,1.5,0.0058115207202729165,Quarterly
APD,2021-06-30,284.6098937988281,1.5,0.005270371946592449,Quarterly
APD,2021-09-30,254.8458251953125,1.5,0.005885911604988655,Quarterly
APD,2021-12-31,283.6221008300781,1.5,0.005288727484952488,Quarterly
ALB,2020-03-12,63.54840087890625,0.385,0.006058374320600628,Quarterly
ALB,2020-06-11,73.4290542602539,0.385,0.005243156184954366,Quarterly
ALB,2020-09-17,99.37063598632812,0.385,0.0038743839785122247,Quarterly
ALB,2020-12-10,140.28916931152344,0.385,0.002744331596583029,Quarterly
ALB,2021-03-11,160.3798370361328,0.39,0.0024317271248513296,Quarterly
ALB,2021-06-10,167.22792053222656,0.39,0.0023321464427636827,Quarterly
ALB,2021-09-16,230.87388610839844,0.39,0.0016892339214877239,Quarterly
ALB,2021-12-16,230.9199981689453,0.39,0.0016888966009547118,Quarterly
ARE,2020-03-30,138.5641326904297,1.03,0.007433381063345982,Quarterly
ARE,2020-06-29,155.85057067871094,1.06,0.0068013867089727325,Quarterly
ARE,2020-09-29,155.2311553955078,1.06,0.006828526124792827,Quarterly
ARE,2020-12-30,171.0099334716797,1.09,0.006373898743025421,Quarterly
ARE,2021-03-30,163.44869995117188,1.09,0.006668759068292516,Quarterly
ARE,2021-06-29,181.01417541503906,1.12,0.0061873607270370055,Quarterly
ARE,2021-09-29,191.8480682373047,1.12,0.005837952971278431,Quarterly
ARE,2021-12-30,223.16000366210938,1.15,0.005153253186629428,Quarterly
ALLE,2020-03-16,95.7499008178711,0.32,0.0033420400153592023,Quarterly
ALLE,2020-06-15,100.90611267089844,0.32,0.0031712647681084315,Quarterly
ALLE,2020-09-15,99.52674865722656,0.32,0.0032152160531445737,Quarterly
ALLE,2020-12-15,110.48023223876953,0.32,0.0028964457579018933,Quarterly
ALLE,2021-03-16,120.37190246582031,0.36,0.0029907311642118663,Quarterly
ALLE,2021-06-15,137.76490783691406,0.36,0.0026131473221480146,Quarterly
ALLE,2021-09-15,140.8237762451172,0.36,0.0025563864966480212,Quarterly
