ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests
A,TTM,6497000,2963000,3534000,2046000,1488000,-13000,65000,1540000,127000,1413000,1413000,4.84,4.81,291750,293750,1488000,5009000,1413000,1413000,73000,86000,-13000,1626000,1876000,2963000,250000,1413000,1876000,0,,,,,,,,,,,,
AA,TTM,11004000,9755000,1249000,1027000,222000,-139000,-209000,-126000,279000,-292000,-292000,-1.56,-1.56,192250,192250,,10782000,-292000,-152960,,139000,-139000,13000,659000,9755000,646000,-292000,835000,0,-176000,-176000,-36960,,,,,,,,,
AACT,TTM,,,,1644.24,-1644.24,,27972.82,26328.58,,26328.58,26328.58,0.46,0.46,62629.42,62629.42,-1644.24,1644.24,26328.58,4230.05,,,,-1644.24,-1644.24,,,26328.58,-29617.06,0,27972.82,27972.82,5874.29,,,,,,,,,
AADI,TTM,25070,3161,21909,85494,-63585,4538,-2640,-61687,,-61687,-61687,-2.28,-2.28,26999.7030,26999.7030,-66223,88655,-61687,-59047,4749,211,4538,-61476,-61286,3161,190,-61687,-58646,,-2640,-2640,,,,,,,,,,
AAL,TTM,53613000,42708000,10905000,8135000,2770000,-1485000,-894000,391000,116000,275000,242000,0.42,0.42,656240,673783.25,2136000,50843000,275000,720907.93,498000,1983000,-1485000,2374000,2374000,42708000,,275000,3008000,0,-634000,-634000,-188092.07,4511000,,,,,,,,
AAME,TTM,186001,,,,,,,-4319,-1168,-3550,-3550,-0.17,-0.17,20401.5000,20401.5000,,190320,-3151,-3151,,3434,,-885,,,533,-3151,,0.0003,,,,,,,,,,,,
AAOI,TTM,206944,148012,58932,117607,-58675,-7593,-5827,-72095,1,-72096,-72096,-1.88,-1.88,36785.15,36785.15,-59106,265619,-72096,-72514.70,892,8485,-7593,-63610,-43643,148012,19967,-72096,-44173,0,530,530,111.30,,,,,,,,,
AAON,TTM,1209555,778322,431233,187675,243558,-2581,481,241458,50540,190918,190918,2.35,2.28,81387.07,83523.88,243573,965997,190918,190906.14,,2581,-2581,244039,302544,737737,58505,190918,302529,0,15,15,3.14,,,,,,,,,
AAP,TTM,11273255,6808752,4464503,4416251,48252,-81011,12236,-20523,-8361,-12162,-12162,-0.21,-0.21,59535,59757,48252,11225003,-12162,-12162,,81011,-81011,60488,371411,6808752,310923,-12162,371411,0,,,,,,,,,,,,
AAPL,TTM,391035000,210352000,180683000,57467000,123216000,,269000,123485000,29749000,93736000,93736000,6.11,6.08,15343783,15408095,123216000,267819000,93736000,93736000,,,,123216000,134661000,210352000,11445000,93736000,134661000,0,,,,,,,,,,,,
