ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests,other_non_operating_income_expenses
A,TTM,6497000.0,2963000.0,3534000.0,2046000.0,1488000.0,-13000.0,65000.0,1540000.0,127000.0,1413000.0,1413000.0,4.84,4.81,291750.0,293750.0,1488000.0,5009000.0,1413000.0,1413000.0,73000.0,86000.0,-13000.0,1626000.0,1876000.0,2963000.0,250000.0,1413000.0,1876000.0,0.0,,,,,,,,,,,,,
AA,TTM,11004000.0,9755000.0,1249000.0,1027000.0,222000.0,-139000.0,-209000.0,-126000.0,279000.0,-292000.0,-292000.0,-1.56,-1.56,192250.0,192250.0,,10782000.0,-292000.0,-152960.0,,139000.0,-139000.0,13000.0,659000.0,9755000.0,646000.0,-292000.0,835000.0,0.0,-176000.0,-176000.0,-36960.0,,,,,,,,,,
AACT,TTM,,,,1644.24,-1644.24,,27972.82,26328.58,,26328.58,26328.58,0.46,0.46,62629.42,62629.42,-1644.24,1644.24,26328.58,4230.05,,,,-1644.24,-1644.24,,,26328.58,-29617.06,0.0,27972.82,27972.82,5874.29,,,,,,,,,,
AADI,TTM,25070.0,3161.0,21909.0,85494.0,-63585.0,4538.0,-2640.0,-61687.0,,-61687.0,-61687.0,-2.28,-2.28,26999.703,26999.703,-66223.0,88655.0,-61687.0,-59047.0,4749.0,211.0,4538.0,-61476.0,-61286.0,3161.0,190.0,-61687.0,-58646.0,,-2640.0,-2640.0,,,,,,,,,,,
AAL,TTM,53613000.0,42708000.0,10905000.0,8135000.0,2770000.0,-1485000.0,-894000.0,391000.0,116000.0,275000.0,242000.0,0.42,0.42,656240.0,673783.25,2136000.0,50843000.0,275000.0,720907.93,498000.0,1983000.0,-1485000.0,2374000.0,2374000.0,42708000.0,,275000.0,3008000.0,0.0,-634000.0,-634000.0,-188092.07,4511000.0,,,,,,,,,
AAME,TTM,186001.0,,,,,,,-4319.0,-1168.0,-3550.0,-3550.0,-0.17,-0.17,20401.5,20401.5,,190320.0,-3151.0,-3151.0,,3434.0,,-885.0,,,533.0,-3151.0,,0.0003,,,,,,,,,,,,,
AAOI,TTM,206944.0,148012.0,58932.0,117607.0,-58675.0,-7593.0,-5827.0,-72095.0,1.0,-72096.0,-72096.0,-1.88,-1.88,36785.15,36785.15,-59106.0,265619.0,-72096.0,-72514.7,892.0,8485.0,-7593.0,-63610.0,-43643.0,148012.0,19967.0,-72096.0,-44173.0,0.0,530.0,530.0,111.3,,,,,,,,,,
AAON,TTM,1209555.0,778322.0,431233.0,187675.0,243558.0,-2581.0,481.0,241458.0,50540.0,190918.0,190918.0,2.35,2.28,81387.07,83523.88,243573.0,965997.0,190918.0,190906.14,,2581.0,-2581.0,244039.0,302544.0,737737.0,58505.0,190918.0,302529.0,0.0,15.0,15.0,3.14,,,,,,,,,,
AAP,TTM,11273255.0,6808752.0,4464503.0,4416251.0,48252.0,-81011.0,12236.0,-20523.0,-8361.0,-12162.0,-12162.0,-0.21,-0.21,59535.0,59757.0,48252.0,11225003.0,-12162.0,-12162.0,,81011.0,-81011.0,60488.0,371411.0,6808752.0,310923.0,-12162.0,371411.0,0.0,,,,,,,,,,,,,
AAPL,TTM,391035000.0,210352000.0,180683000.0,57467000.0,123216000.0,,269000.0,123485000.0,29749000.0,93736000.0,93736000.0,6.11,6.08,15343783.0,15408095.0,123216000.0,267819000.0,93736000.0,93736000.0,,,,123216000.0,134661000.0,210352000.0,11445000.0,93736000.0,134661000.0,0.0,,,,,,,,,,,,,
ABAT,TTM,343.5,3304.707,-2961.207,34554.429,-37515.636,-4353.049,-10633.139,-52501.824,,-52501.824,-52501.824,-1.02,-1.02,51243.106,51243.106,,37859.136,-52501.824,-41846.404,,158.078,-4353.049,-52343.746,-50563.965,3304.707,1779.781,-52501.824,-39908.545,,-10655.42,-10655.42,,,,,,,,,,,
ABBV,TTM,55533000.0,18212000.0,37321000.0,22812000.0,14509000.0,-1928000.0,-5384000.0,7197000.0,2064000.0,5081000.0,5081000.0,2.87,2.87,1768750.0,1773000.0,13822000.0,41024000.0,5122000.0,5648351.81,742000.0,2670000.0,-1928000.0,9867000.0,18227000.0,18212000.0,8360000.0,5122000.0,18965000.0,0.0,-738000.0,-738000.0,-211648.19,,,,,,,,,,
ABCB,TTM,1063644.0,,,,,,,419365.0,108219.0,311146.0,311146.0,4.52,4.50,68844.39,69013.41,,,311146.0,311146.0,,,,,,,47750.0,311146.0,,0.0,,,,,,-87289.0,556990.0,,739872.0,50150.0,,,
ABCL,TTM,32962.0,,,327574.0,-294612.0,40774.0,51670.0,-202168.0,-26371.0,-175797.0,-175797.0,-0.61,-0.61,293051.722,293051.722,-308064.0,327574.0,-175797.0,-175797.0,40774.0,,40774.0,-294612.0,-202405.0,,92207.0,-175797.0,-202405.0,0.0001,,,,,,,,,,,,,
ABEO,TTM,,30.0,-30.0,56707.0,-56737.0,1132.0,3006.0,-52599.0,,-52599.0,-52599.0,-1.77,-1.77,29479.92,29479.92,-56737.0,56737.0,-52599.0,-54894.0,3370.0,2238.0,1132.0,-50361.0,-47480.0,30.0,2881.0,-52599.0,-49775.0,,2295.0,2295.0,,,,,,,,,,,
ABG,TTM,16495700.0,13624100.0,2871800.0,1898700.0,973100.0,-249900.0,-244000.0,479200.0,122200.0,357000.0,357000.0,17.88,17.82,20225.0,20250.0,720500.0,15522800.0,357000.0,538777.96,,249900.0,-249900.0,729100.0,802100.0,13624200.0,72900.0,357000.0,1046100.0,0.0,-244000.0,-244000.0,-62222.04,132400.0,,,,,,,,,
ABL,TTM,95379.76,10491.86,84887.91,65930.92,18956.98,-15476.36,-5546.55,-2065.93,3871.65,-5897.78,-6106.42,-0.13,-0.14,63275.89,64099.54,17317.68,76422.78,-5897.78,-4558.96,1648.64,17125.0,-15476.36,15059.07,21899.36,10491.86,6840.29,-5897.78,23594.08,0.0,-1694.72,-1694.72,-355.89,,,,,,,,,,
ABLV,TTM,148999.819,111990.554,37009.265,23688.244,13321.021,-842.246,-787.877,11690.898,1940.852,9441.345,9441.345,0.24,0.24,39454.997,39454.997,13321.021,135678.798,9750.046,10452.5307,,842.246,-842.246,12533.144,13413.562,111990.554,880.418,9750.046,14256.881,0.0002,-843.319,-843.319,-140.8343,827.288,,,,,,,,,
ABM,TTM,8274900.0,,,7975800.0,299100.0,-83600.0,5600.0,221300.0,65300.0,155900.0,155900.0,2.44,2.42,63750.0,63975.0,299200.0,7975800.0,155900.0,155900.0,,83600.0,-83600.0,304900.0,413800.0,,108900.0,155900.0,413800.0,0.0,,,,,,,,,,,,,
ABNB,TTM,10840000.0,1835000.0,9005000.0,7378000.0,1627000.0,744000.0,-45000.0,2326000.0,488000.0,1838000.0,1838000.0,2.89,2.88,635500.0,649250.0,1627000.0,9213000.0,1838000.0,1838000.0,827000.0,,744000.0,2294000.0,2353000.0,1835000.0,59000.0,1838000.0,2353000.0,0.0,,,,,,,,,,,,,
ABOS,TTM,,,,76680.0,-76680.0,12311.0,-495.0,-64864.0,,-64864.0,-64864.0,-1.11,-1.11,58069.796,58069.796,-76680.0,76680.0,-64864.0,-64554.0,14896.0,2585.0,12311.0,-62279.0,-62111.0,,168.0,-64864.0,-61801.0,,-310.0,-310.0,,,,,,,,,,,
ABSI,TTM,3250.0,,,101511.0,-98261.0,-759.0,6850.0,-92170.0,94.0,-92264.0,-92264.0,-0.93,-0.93,99282.582,99282.582,-98261.0,101511.0,-92264.0,-92264.0,,759.0,-759.0,-91411.0,-77613.0,,13798.0,-92264.0,-77613.0,0.0002,,,,,,,,,,,,,
ABT,TTM,41217000.0,18320000.0,22897000.0,16203000.0,6694000.0,-240000.0,324000.0,6778000.0,1011000.0,5767000.0,5767000.0,3.31,3.29,1740460.5,1748520.0,6694000.0,34523000.0,5767000.0,5772955.89,342000.0,582000.0,-240000.0,7360000.0,10584000.0,16990000.0,3224000.0,5767000.0,10591000.0,0.0,-7000.0,-7000.0,-1044.11,,,,,,,,,,
ABTS,TTM,1681.533,891.919,789.614,5908.238,-5118.624,-18.851,-7447.775,-12585.25,,-12605.303,-12605.303,-0.35,-0.35,35554.677,35554.677,-11013.871,6800.157,-12585.25,-5137.475,,18.851,-18.851,-12566.399,-7592.67,891.919,4973.729,-12585.25,-144.895,,-7447.775,-7447.775,,,,,,,,,,,
