ticker,date,ebitda,earningsPerShare,profitMargin,beta,revenue,targetPrice
A,2024-12-05,1564000000,4.43,0.21747999,1.072,6496999936,148.64412
AA,2024-12-05,1070000000,-1.56,-0.02654,2.419,11004000256,47.66154
AACT,2024-12-05,,0.44,,,,
AADI,2024-12-05,-63395000,-2.28,-2.4605901,0.369,25070000,1.875
AAL,2024-12-05,5066999808,0.42,0.00513,1.399,53612998656,14.7115
AAM,2024-12-05,,,,,,
AAME,2024-12-05,-352000,-0.36,-0.01694,0.462,186000992,
AAOI,2024-12-05,-48747000,-2.04,-0.38606998,1.961,209547008,22.375
AAON,2024-12-05,310718016,2.28,0.15784,0.791,1209554944,125.8
AAP,2024-12-05,359175008,0.79,-0.0010800001,1.194,11273254912,44.0
AAPL,2024-12-05,134660997120,6.08,0.23971,1.24,391034994688,244.47739
ABAT,2024-12-05,-35836904,-1.0,,1.854,343500,9.0
ABBV,2024-12-05,25629999104,2.88,0.09222999,0.613,55532998656,202.87607
ABCB,2024-12-05,,4.78,0.31542,1.023,1046982016,73.0
ABCL,2024-12-05,-222243008,-0.61,,0.351,32962000,12.28571
ABEO,2024-12-05,-54747000,-2.05,,1.505,,16.75
ABG,2024-12-05,1050000000,17.83,0.02164,1.165,16495800320,261.875
ABL,2024-12-05,27886216,-0.22,-0.116459996,0.148,102407328,14.375
ABLV,2024-12-05,13543705,0.24,0.06544,2.873,148999824,
ABM,2024-12-05,370400000,2.42,0.01884,1.132,8274899968,56.8
ABNB,2024-12-05,1672999936,2.88,0.16956,1.156,10840000512,137.33888
ABOS,2024-12-05,-92838000,-1.38,,0.039,,10.8
ABP,2024-12-05,-11307000,-0.32,,,72000,
ABSI,2024-12-05,-89714000,-0.93,,2.187,4207000,8.375
ABT,2024-12-05,10824999936,3.29,0.13992,0.722,41216999424,129.87125
ABTS,2024-12-05,1366470,-0.26,-1.70216,2.706,5343888,
ABUS,2024-12-05,-77140000,-0.43,,1.916,6742000,7.2844
ABVC,2024-12-05,-8507882,-0.81,,0.816,136396,
ABVE,2024-12-05,-36770040,-1.47,-0.1447,-0.009,368423392,
AC,2024-12-05,-20019000,2.62,4.12902,,13657000,
ACA,2024-12-05,386700000,2.63,0.05169,0.71,2485900032,109.66667
ACAD,2024-12-05,124541000,0.78,0.13829,0.379,929235968,25.10526
ACB,2024-12-05,10308000,-0.48,-0.14708,2.697,296987008,
ACCD,2024-12-05,-53619000,-1.02,-0.18160999,2.016,441028000,7.2575
ACCO,2024-12-05,201500000,-1.9,-0.106400006,1.615,1706700032,10.83333
ACDC,2024-12-05,515400000,-1.46,-0.09347,0.846,2225299968,7.3
ACEL,2024-12-05,176596992,0.51,0.03543,1.476,1210525056,14.66667
ACET,2024-12-05,-121497000,-1.7,,1.698,,6.4
ACGL,2024-12-05,5171999744,14.9,0.33859003,0.613,16867000320,121.06667
ACHC,2024-12-05,689292992,3.05,0.089899994,1.334,3122524928,60.16667
ACHR,2024-12-05,-482300000,-1.31,,2.295,,9.61111
ACHV,2024-12-05,-31037000,-1.12,,1.583,,16.44444
ACI,2024-12-05,3863699968,1.71,0.012519999,0.331,79713697792,24.23214
ACIC,2024-12-05,126796000,1.74,0.29251,-0.275,290784000,16.0
ACIU,2024-12-05,-35758000,-0.45,-0.97291,1.277,40973000,9.01575
ACIW,2024-12-05,421408000,2.11,0.14042,1.194,1617812992,64.2
ACLS,2024-12-05,244836992,6.76,0.20646,1.599,1075736064,115.0
ACLX,2024-12-05,-65299000,-0.71,-0.25942,0.265,155818000,115.0
ACM,2024-12-05,1066792000,3.71,0.01611,1.168,15837388800,120.2
ACMR,2024-12-05,139670000,1.33,0.1238,1.537,728968000,30.42857
ACN,2024-12-05,11065912320,11.45,0.111940004,1.245,64896462848,378.54
ACNB,2024-12-05,,3.44,0.27582002,0.595,106401000,47.66667
ACNT,2024-12-05,-9970000,-1.87,-0.07249,0.794,182264000,
ACOG,2024-12-05,,,,,,
ACON,2024-12-05,-4525660,-2.4,,0.396,53947,1.15
ACRS,2024-12-05,-62202000,-0.52,-1.3665199,0.116,27079000,7.6
ACRV,2024-12-05,-75561000,-2.66,,,,21.55556
ACT,2024-12-05,,4.29,0.57068,0.569,1196188032,38.7
ACTG,2024-12-05,66876000,0.58,0.31444,0.526,165779008,7.0
ACTU,2024-12-05,,-1.46,,,,
ACU,2024-12-05,19721208,5.06,0.10248,0.662,190488944,58.0
ACVA,2024-12-05,-56145000,-0.47,-0.12886,1.583,596019008,25.03846
ACXP,2024-12-05,,-1.09,,-1.722,,11.19
ADBE,2024-12-05,8134000128,11.8,0.25588,1.299,20946999296,613.1079
ADCT,2024-12-05,-136868000,-2.39,-2.99999,1.602,70717000,8.4
ADD,2024-12-05,-22834354,-71.0,,2.238,2830442,
ADEA,2024-12-05,188131008,0.37,0.12014,1.13,343723008,15.33333
ADGM,2024-12-05,-29033000,-2.76,,-0.096,399000,
ADI,2024-12-05,4361349120,3.27,0.17068,1.078,9700435968,251.7618
ADIL,2024-12-05,-7273465,-2.94,,1.296,,7.5
ADM,2024-12-05,3988000000,3.56,0.0293,0.722,88768004096,57.4
ADMA,2024-12-05,125894000,0.27,0.17798,0.645,382808992,23.446
ADN,2024-12-05,-43444000,-25.9,,0.089,7026000,
ADNT,2024-12-05,732000000,0.2,0.00123,2.182,14688000000,28.8
ADP,2024-12-05,5733100032,9.35,0.19715,0.795,19522899968,298.674
ADPT,2024-12-05,-146946000,-1.34,-1.1013,1.447,177282000,7.41667
ADSE,2024-12-05,-23655000,-1.5,-0.48154,0.466,148371008,14.0
ADSK,2024-12-05,1396000000,5.02,0.18208,1.474,5805000192,322.43607
ADT,2024-12-05,2431219968,0.01,0.17255,1.517,5140299776,8.54
ADTN,2024-12-05,-22228000,-6.51,-0.56988996,1.2,905347008,9.75
ADTX,2024-12-05,-33094198,628.8,,1.081,329739,
ADUR,2024-12-05,-7889733,-0.85,,1.132,333971,
ADUS,2024-12-05,123755000,4.38,0.064959995,1.044,1133805952,136.6
ADV,2024-12-05,362572000,-0.58,-0.03295,1.559,3990707968,4.66667
ADVM,2024-12-05,-99024000,-5.95,,1.008,1000000,29.71429
AE,2024-12-05,16327000,-3.18,-0.0029199999,,2784456960,38.0
AEE,2024-12-05,3264000000,4.25,0.16053,0.462,7057999872,90.27467
AEHL,2024-12-05,-13027803,18.68,-0.19694,1.413,69082232,
AEHR,2024-12-05,6988000,0.98,0.49635,2.039,58713000,25.0
AEI,2024-12-05,-8133407,-4.34,,1.26,9220976,
AEIS,2024-12-05,135878000,1.2,0.02911,1.484,1471910016,116.33333
AEM,2024-12-05,4203645952,1.98,0.12946999,1.081,7818693120,99.07727
AEMD,2024-12-05,-10632480,-2.79,,1.755,,3.85
AENT,2024-12-05,22420000,0.17,0.00416,0.405,1100482944,6.0
AEO,2024-12-05,674590976,1.25,0.04581,1.5,5414889984,21.9
AEON,2024-12-05,-43861000,-0.14,,0.397,,5.0
AEP,2024-12-05,7258299904,4.96,0.13464,0.539,19602200576,100.81222
AER,2024-12-05,4075642880,12.4,0.32406,1.829,7817255936,113.11111
AERT,2024-12-05,-9744000,0.01,0.0057,-0.42,72846000,
AES,2024-12-05,3334000128,1.44,0.08344,1.09,12284000256,20.36
AESI,2024-12-05,261939008,0.69,0.087799996,,925756992,23.31818
AEVA,2024-12-05,-143959008,-3.12,,1.369,7980000,5.4675
AEYE,2024-12-05,618000,-0.27,-0.098929994,1.024,33348000,34.625
AFBI,2024-12-05,,0.85,0.18329,0.514,30601000,
AFCG,2024-12-05,,0.26,0.19898,,43157172,12.5
AFG,2024-12-05,1342000000,10.66,0.11306,0.778,7916000256,146.2
AFJK,2024-12-05,,,,,,
AFL,2024-12-05,4779250176,6.73,0.22015,0.958,17301999616,105.92308
AFMD,2024-12-05,-71172000,-4.78,,2.098,7429000,26.73957
AFRI,2024-12-05,6156000,-0.47,-0.041500002,0.403,305476000,
AFRM,2024-12-05,-291772992,-1.41,-0.17672001,3.477,2524931072,56.65294
AFYA,2024-12-05,1094663936,1.05,0.18028,0.917,3067473920,117.78467
AG,2024-12-05,-198998000,-0.26,-0.14885001,1.387,525212992,8.75
AGAE,2024-12-05,-9025074,-0.27,-0.79303,1.382,8212441,
AGCO,2024-12-05,1425900032,2.26,0.01351,1.249,12575299584,103.76923
AGEN,2024-12-05,-85517000,-11.02,-1.41898,1.386,160427008,8.0
AGFY,2024-12-05,-10557000,-2.26,-0.02183,2.042,11590000,
AGI,2024-12-05,632099968,0.6,0.19891001,1.088,1225699968,25.0
AGIO,2024-12-05,-401288000,11.66,20.51377,0.751,32871000,53.875
AGL,2024-12-05,-321076992,-0.76,-0.06879,0.602,5594117120,3.62667
AGM,2024-12-05,,15.54,0.57038,1.059,347660992,218.0
AGM-A,2024-12-05,,15.54,0.57038,1.059,347660992,
AGMH,2024-12-05,-8931979,-0.31,-0.08007,0.979,92907168,
AGO,2024-12-05,534500000,12.75,0.84660006,1.092,867000000,106.5
AGR,2024-12-05,2566000128,2.9,0.12889,0.558,8705000448,37.04167
AGRI,2024-12-05,-5071536,220.0,,0.044,57596,
AGRO,2024-12-05,409959008,1.5,0.16280001,1.069,1322931968,13.42857
AGS,2024-12-05,154188000,0.17,0.01887,2.353,386032992,12.5
AGX,2024-12-05,47092000,3.19,0.061100002,0.471,713006016,115.0
AGYS,2024-12-05,29050000,3.51,0.37541,0.849,254579008,141.25
AHCO,2024-12-05,669380992,-1.67,-0.0657,1.13,3262564096,11.38889
AHR,2024-12-05,315920000,-0.46,-0.01669,,2005321984,30.0
AHT,2024-12-05,226512992,4976.9,0.028399998,2.332,1215282048,15.0
AI,2024-12-05,-305352992,-2.28,-0.85475,1.789,325432992,25.54545
AIEV,2024-12-05,-2425895,-0.04,,-0.161,,
AIFF,2024-12-05,-4553000,-0.3,,,64000,
AIG,2024-12-05,8501000192,5.03,-0.04876,1.069,45298999296,84.23529
AIHS,2024-12-05,-3598889,-0.37,-0.67006,1.012,5842114,
AILE,2024-12-05,-43577000,0.06,-0.70583,0.261,485830016,19.5
AIM,2024-12-05,-31359000,-0.47,,-0.363,201000,3.0
AIMD,2024-12-05,-9794274,-2.71,,1.413,40633,
AIN,2024-12-05,256387008,3.2,0.07922,1.294,1267293952,85.0
AIOT,2024-12-05,2988000,-0.72,-0.2327,1.674,221072992,10.16667
AIP,2024-12-05,-30440000,-0.94,-0.65721,1.125,54739000,11.2
AIR,2024-12-05,212800000,1.81,0.026700001,1.569,2430899968,81.0
AIRE,2024-12-05,-10255137,-0.05,,,99036,3.0
AIRG,2024-12-05,-8961000,-1.15,-0.23191,0.697,53181000,11.16667
AIRI,2024-12-05,2444000,-0.18,-0.02858,0.321,53395000,7.75
AIRJ,2024-12-05,-13546435,-0.21,,-0.018,,
AIRS,2024-12-05,15176000,-0.14,-0.04127,1.619,188780000,6.75
AIRT,2024-12-05,6302000,-0.87,-0.00878,,284091008,
AISP,2024-12-05,-2005470,0.58,0.32604998,0.153,23567016,8.5
AIT,2024-12-05,540958976,9.8,0.08565,1.024,4483162112,285.7143
AITR,2024-12-05,,0.22,,,,
AIZ,2024-12-05,1241900032,14.0,0.06307,0.568,11755799552,233.2
AJG,2024-12-05,3382200064,5.25,0.10988,0.727,10667700224,293.6706
AKA,2024-12-05,6553000,-2.9,-0.054050002,1.413,564585984,26.0
AKAM,2024-12-05,1118397952,3.38,0.13266,0.678,3966245888,113.26955
AKAN,2024-12-05,-7460471,-524.76,,1.521,2508317,
AKBA,2024-12-05,4410000,-0.22,-0.27073,0.734,169879008,5.5
AKRO,2024-12-05,-269265984,-3.78,,-0.26,,48.27273
AKTS,2024-12-05,-53803000,-1.65,,1.689,27384000,
AKYA,2024-12-05,-39486000,-1.16,-0.64742994,1.346,93216000,3.5
AL,2024-12-05,,4.39,0.19575001,1.6,2737329920,57.57143
ALAB,2024-12-05,-104470000,-0.59,-0.30686,,305708000,102.76923
ALB,2024-12-05,-935078016,-16.76,-0.28798,1.551,6501978112,116.40769
ALBT,2024-12-05,-13248645,-19.96,,,-8320704,
ALC,2024-12-05,2356999936,2.34,0.11894,0.73,9761000448,100.16667
ALCE,2024-12-05,-15114013,-24.81,-1.92477,0.251,29842000,
ALCO,2024-12-05,-29463000,0.91,0.56129,0.805,46388000,35.0
ALCY,2024-12-05,,0.38,,,,
ALDX,2024-12-05,-49385308,-0.75,,1.432,,10.0
ALE,2024-12-05,448300000,3.12,0.11495,0.786,1567699968,65.66667
ALEC,2024-12-05,-177394000,-1.71,-2.57542,0.657,61508000,9.38889
ALF,2024-12-05,,,,,,
ALG,2024-12-05,227458000,9.94,0.071880005,1.076,1660732032,215.5
ALGM,2024-12-05,141252992,-0.14,-0.029560002,1.688,849875008,28.67692
ALGN,2024-12-05,820153984,5.86,0.111490004,1.65,3960518912,263.65143
ALGS,2024-12-05,-92684000,-7.25,,2.116,5997000,103.33333
ALGT,2024-12-05,268276000,-1.52,-0.0104,1.612,2495886080,71.5
ALHC,2024-12-05,-93681000,-0.76,-0.05842,1.455,2467706880,13.27273
ALIT,2024-12-05,451000000,-0.62,-0.09738,1.076,3358000128,11.0
ALK,2024-12-05,1307000064,2.51,0.02994,1.593,10753999872,62.986
ALKS,2024-12-05,358806016,2.29,0.22147,0.435,1505121024,34.07692
ALKT,2024-12-05,-43617000,-0.47,-0.14547,0.43,315561984,44.3
ALL,2024-12-05,6192999936,15.47,0.067719996,0.481,62432002048,221.29411
ALLE,2024-12-05,888400000,6.5,0.15359999,1.123,3724000000,148.112
ALLK,2024-12-05,-154723008,-2.03,,1.024,,3.35
ALLO,2024-12-05,-254972992,-1.55,,0.836,43000,9.04167
ALLR,2024-12-05,-16895000,5449.42,,0.291,,
ALLT,2024-12-05,-31692000,-0.65,-0.4018,1.045,91031000,13.0
ALLY,2024-12-05,,2.5,0.13069001,1.389,6764000256,40.42059
ALMS,2024-12-05,-239060000,-4.39,,,,30.0
ALNT,2024-12-05,58309000,0.87,0.02641,1.51,548955008,29.33333
ALNY,2024-12-05,-132146000,-2.62,-0.15861,0.386,2094795008,298.774
ALOT,2024-12-05,15202000,0.84,0.04203,0.56,150643008,
ALRM,2024-12-05,121430000,2.32,0.13541001,0.9,923824000,72.625
ALRN,2024-12-05,-25396000,-2.88,,2.341,,13.0
ALRS,2024-12-05,,0.17,0.01879,0.686,164503008,23.4
ALSA,2024-12-05,,-1.08,,0.009,,
ALSN,2024-12-05,1130000000,8.19,0.22659001,0.978,3204000000,108.1
ALT,2024-12-05,-99191000,-1.57,,0.072,52000,21.25
ALTG,2024-12-05,159600000,-1.71,-0.028110001,1.67,1900000000,12.66
ALTI,2024-12-05,-39083000,-1.57,-0.3734,0.647,246970000,9.0
ALTM,2024-12-05,240400000,0.18,0.17222,1.495,900600000,6.03984
ALTO,2024-12-05,-640000,-0.51,-0.03613,1.981,1002536000,4.5
ALTR,2024-12-05,71684000,0.4,0.05096,1.439,644659968,105.975
ALTS,2024-12-05,-5284000,-4.29,,2.15,2169000,
ALUR,2024-12-05,-58042000,-0.41,-0.71244,,34754000,1.83333
ALV,2024-12-05,1351000064,7.66,0.059860002,1.602,10524999680,115.96222
ALVO,2024-12-05,-104551000,-1.85,-2.00299,-0.097,308728992,17.4
ALVR,2024-12-05,-120465000,-0.88,,0.741,,1.5
ALXO,2024-12-05,-159012000,-2.97,,1.036,,9.33333
ALZN,2024-12-05,-7323379,-142.87,,-0.038,,35.0
AM,2024-12-05,851436032,0.8,0.33938998,2.238,1149558016,15.21429
AMAL,2024-12-05,,3.39,0.3453,0.907,303032000,43.5
AMAT,2024-12-05,8204000256,8.61,0.27743,1.551,26854000640,217.1358
AMBA,2024-12-05,-145888000,-3.87,-0.79460996,1.624,220408000,88.18182
AMBC,2024-12-05,100000000,-0.47,-0.057789996,1.226,398000000,17.0
AMBI,2024-12-05,619377984,0.24,0.02626,0.586,2801191936,75.756
AMBP,2024-12-05,628000000,-0.12,-0.00991,0.61,4845000192,4.15625
AMC,2024-12-05,198300000,-1.36,-0.08996,1.994,4435200000,4.18
AMCR,2024-12-05,1904000000,0.53,0.056750003,0.863,13550000128,11.0
AMCX,2024-12-05,488996992,0.71,0.014450001,1.293,2500857088,10.28571
AMD,2024-12-05,4479000064,1.12,0.07516,1.706,24295000064,184.91273
AME,2024-12-05,2138388992,5.73,0.19271,1.163,6910462976,197.07468
AMED,2024-12-05,234151008,2.52,0.03573,0.782,2321060096,96.33333
AMG,2024-12-05,694200000,15.39,0.27021,1.189,2019200000,195.7143
AMGN,2024-12-05,12247000064,7.82,0.13002,0.599,32533999616,328.39078
AMIX,2024-12-05,,-19.74,,,,28.0
AMKR,2024-12-05,1067059968,1.48,0.05682,1.852,6440385024,34.328
AMLI,2024-12-05,-26540940,-0.11,,2.259,,3.2615
AMLX,2024-12-05,-248247008,-3.82,-1.32054,-0.699,196484992,7.5
AMN,2024-12-05,309486016,1.43,0.01729,0.131,3067341056,41.28571
AMP,2024-12-05,,26.16,0.15517001,1.334,17444999168,543.9
AMPG,2024-12-05,-3886795,-0.82,-0.62539,0.693,12219820,4.0
AMPH,2024-12-05,266611008,3.01,0.21798,0.824,723548992,58.2
AMPL,2024-12-05,-90260000,-0.65,-0.27438998,1.319,292544000,11.375
AMPS,2024-12-05,96744000,0.21,0.19176,0.941,185992000,5.5
AMPX,2024-12-05,-40843000,-0.45,-2.4592102,2.431,17480000,7.16667
AMPY,2024-12-05,138282000,1.55,0.20993,1.962,304644992,9.83333
AMR,2024-12-05,625350976,27.28,0.11083,1.358,3299929088,332.0
AMRC,2024-12-05,182739008,1.0,0.03182,1.818,1678628992,37.54545
AMRK,2024-12-05,75847000,2.44,0.0059100003,0.028,9929517056,44.6
AMRX,2024-12-05,566760000,-0.86,-0.06882,1.175,2680420096,10.5
AMS,2024-12-05,7672000,0.61,0.18412,0.672,23104000,4.5
AMSC,2024-12-05,7730000,-0.03,-0.00491,2.137,176142000,30.33333
AMSF,2024-12-05,77419000,3.21,0.19488001,0.296,315182016,56.33333
AMST,2024-12-05,-4554302,-1.72,,1.382,166881,
AMTB,2024-12-05,,-1.48,-0.19426,0.987,256136992,26.4
AMTM,2024-12-05,433000000,1.68,0.045760002,,5616000000,30.5
AMTX,2024-12-05,-27980000,-2.26,-0.33213,1.235,291400000,12.15
AMWD,2024-12-05,217188992,6.7,0.059720002,1.611,1808375040,113.5
AMWL,2024-12-05,-200511008,-14.45,-0.84269994,1.048,254035008,12.57143
AMZN,2024-12-05,111583002624,4.69,0.080419995,1.146,620127977472,234.49532
AN,2024-12-05,1506899968,17.4,0.02744,1.217,26319599616,197.63635
ANAB,2024-12-05,-139448992,-6.05,-2.89754,-0.239,57172000,55.3
ANDE,2024-12-05,332284000,3.49,0.01058,0.612,11347409920,65.0
ANEB,2024-12-05,,-0.3,,-1.01,,8.0
ANET,2024-12-05,2833341952,2.09,0.40293998,1.077,6613147136,107.19943
ANF,2024-12-05,816854976,10.1,0.107559994,1.512,4664041984,187.16667
ANGH,2024-12-05,-11719309,-0.6,-0.38215,1.524,41380440,
ANGI,2024-12-05,117004000,0.08,0.02606,,1217676032,2.98333
ANGO,2024-12-05,-13176000,-6.05,-0.83023,0.673,292726016,13.0
ANIK,2024-12-05,-8054000,-6.64,-0.59403,0.857,164168000,26.5
ANIP,2024-12-05,82125000,-0.47,-0.01277,0.71,555456000,78.4
ANIX,2024-12-05,,-0.39,,0.85,,8.5
ANL,2024-12-05,-63570000,-6.18,,,5000000,9.0
ANNX,2024-12-05,-124791000,-1.03,,1.23,,15.0
